MBLNR|ZEILE|BUDAT|BLDAT|BWART|WERKS|LGORT|MATNR|MAKTX|MENGE|MEINS|DMBTR|WAERS|KOSTL|AUFNR|LIFNR
5000012345|1|20240115|20240115|201|1001|0001|DIESEL_ROAD|Diesel Kraftstoff EN590|4500,000|L|4860,00|EUR|1000100||
5000012346|1|20240118|20240118|201|1001|0001|DIESEL_ROAD|Diesel Kraftstoff EN590|3200,000|L|3456,00|EUR|1000100||
5000012347|1|20240120|20240120|261|1001|0002|HFO_380|Heavy Fuel Oil 380 cSt|12000,000|KG|5880,00|EUR||ORD-20240120-001|
5000012348|1|20240122|20240122|201|1001|0001|LPG_INDUS|LPG Industriegas|850,000|KG|612,00|EUR|1000200||
5000012349|1|20240125|20240125|201|2001|0001|DIESEL_ROAD|Road Diesel ASTM D975|1200,000|GAL|3780,00|USD|2000100||
5000012350|1|20240128|20240128|201|2001|0001|DIESEL_ROAD|Road Diesel ASTM D975|980,000|GAL|3087,00|USD|2000100||
5000012351|1|20240130|20240130|261|2001|0002|NAT_GAS_C|Compressed Natural Gas|450,000|NM3|315,00|USD||ORD-20240130-001|
5000012352|1|20240201|20240201|201|1002|0001|DIESEL_ROAD|Diesel Kraftstoff EN590|6800,000|L|7344,00|EUR|1000300||
5000012353|1|20240205|20240205|261|1002|0003|HFO_380|Heavy Fuel Oil 380 cSt|25000,000|KG|12250,00|EUR||ORD-20240205-001|
5000012354|1|20240207|20240207|201|2002|0001|DIESEL_ROAD|Industrial Diesel|2200,000|L|2420,00|SGD|3000100||
5000012355|1|20240210|20240210|201|2002|0001|LPG_INDUS|LPG Industrial Grade|1100,000|KG|1210,00|SGD|3000200||
5000012356|1|20240212|20240212|101|1001|0001|STEEL_COIL|Kaltgewalztes Stahlband|15000,000|KG|18000,00|EUR||ORD-20240212-002|VENDOR_001
5000012357|1|20240215|20240215|201|1001|0001|DIESEL_ROAD|Diesel Kraftstoff EN590|4100,000|L|4428,00|EUR|1000100||
5000012358|1|20240218|20240218|261|3001|0001|NAT_GAS_M|Natural Gas Mains|320,000|NM3|192,00|GBP||ORD-20240218-001|
5000012359|1|20240220|20240220|201|3001|0001|DIESEL_GEN|Diesel Generator Fuel|180,000|L|216,00|GBP|3000400||
5000012360|1|20240222|20240222|101|1001|0002|CHEM_SOLV|Chemisches Lösungsmittel|500,000|KG|2250,00|EUR||ORD-20240222-003|VENDOR_002
5000012361|1|20240225|20240225|201|2001|0001|DIESEL_ROAD|Road Diesel ASTM D975|1450,000|GAL|4567,50|USD|2000100||
5000012362|1|20240228|20240228|261|1002|0002|COAL_BITUM|Bituminous Coal|45000,000|KG|13500,00|EUR||ORD-20240228-002|
5000012363|1|20240301|20240301|201|2002|0001|PETROL_95|Petrol RON95|800,000|L|1040,00|SGD|3000100||
5000012364|1|20240305|20240305|201|1001|0001|DIESEL_ROAD|Diesel Kraftstoff EN590|99000,000|L|106920,00|EUR|1000100||
